Union Group,Trade,Union Local,Zone,Package,Start Date,End Date,Wage,Wage 1.1x,Wage 1.5x,Temporary Heat,Temporary Heat 1.1x,Temporary Heat 1.5x,Pension Local,Health & Welfare,Annuity,Industry Improvement,Education,Labor/Mgt. Trust Fund,Pension National,Union Dues 537,Organizing Fund 537,C.O.P.E. 537,Vacation 1 537,Vacation 2 537,Vacation 3 537,Vacation 4 537,Vacation 5 537,Vacation 6 537,Public Relations,UA PAC
SMART,Pipefitter,537,Building,Foreman,3/1/26,8/31/26,73.08,80.39,109.62,43.85,48.24,65.78,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Journeyman,3/1/26,8/31/26,70.58,77.64,105.87,42.35,46.59,63.53,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Apprentice Year 5,3/1/26,8/31/26,56.46,62.11,84.69,33.88,37.27,50.82,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Apprentice Year 4,3/1/26,8/31/26,49.41,54.35,74.12,29.65,32.62,44.48,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Apprentice Year 3,3/1/26,8/31/26,42.35,46.59,63.53,25.41,27.95,38.12,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Apprentice Year 2,3/1/26,8/31/26,31.76,34.94,47.64,19.06,20.97,28.59,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Building,Apprentice Year 1,3/1/26,8/31/26,28.23,31.05,42.35,16.94,18.63,25.41,0.00,13.95,0.00,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Power & Gas,General Foreman,3/1/26,8/31/26,91.35,100.49,137.03,54.81,60.29,82.22,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Power & Gas,Area Foreman,3/1/26,8/31/26,84.04,92.44,126.06,50.42,55.46,75.63,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
SMART,Pipefitter,537,Power & Gas,Foreman,3/1/26,8/31/26,80.39,88.43,120.59,48.23,53.05,72.35,14.00,13.95,9.55,0.25,2.17,2.20,0.30,0.93,0.15,0.02,0.00,1.00,2.00,3.00,4.00,5.00,0.09,0.05
