Union Group,Trade,Union Local,Zone,Indentured Date is Before,Indentured Date is After,Package,Start Date,End Date,Wage,Wage Differential,Wage 1.5x,Wage 2.0x,Health & Welfare 281,Pension,SIS,UA International Training,Apprenticeship Training,Industry Promotion Local Use,LMCC 281,Union Dues 281,Union Protection 281
UA,Sprinkler,281,Building,,,General Foreman,1/1/26,6/30/26,66.20,76.15,99.30,132.40,15.45,7.45,12.50,0.10,1.05,0.70,0.05,3.00%,4.54
UA,Sprinkler,281,Building,,,Foreman,1/1/26,6/30/26,65.95,75.85,98.93,131.90,15.45,7.45,12.50,0.10,1.05,0.70,0.05,3.00%,4.54
UA,Sprinkler,281,Building,,,Journeyman,1/1/26,6/30/26,63.20,72.70,94.80,126.40,15.45,7.45,12.50,0.10,1.05,0.70,0.05,3.00%,4.54
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 5,1/1/26,6/30/26,50.55,58.13,75.83,101.10,12.35,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.81
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 4,1/1/26,6/30/26,44.25,50.89,66.38,88.50,10.80,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.58
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 3,1/1/26,6/30/26,37.90,43.59,56.85,75.80,9.25,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.34
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 2-B,1/1/26,6/30/26,34.75,39.96,52.13,69.50,8.50,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.22
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 2-A,1/1/26,6/30/26,34.80,40.02,52.20,69.60,8.50,0.00,4.13,0.10,1.05,0.70,0.05,3.00%,3.00
UA,Sprinkler,281,Building,6/30/24,7/1/20,Apprentice Year 1,1/1/26,6/30/26,28.45,32.72,42.68,56.90,6.95,0.00,0.00,0.10,0.00,0.70,0.05,3.00%,0.00
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 5,1/1/26,6/30/26,50.55,58.13,75.83,101.10,13.15,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.84
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 4,1/1/26,6/30/26,44.25,50.89,66.38,88.50,12.35,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.62
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 3,1/1/26,6/30/26,37.90,43.59,56.85,75.80,11.60,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.41
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 2-B,1/1/26,6/30/26,34.75,39.96,52.13,69.50,11.60,7.45,4.13,0.10,1.05,0.70,0.05,3.00%,3.31
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 2-A,1/1/26,6/30/26,34.80,40.02,52.20,69.60,11.60,0.00,4.13,0.10,1.05,0.70,0.05,3.00%,3.09
UA,Sprinkler,281,Building,,7/1/24,Apprentice Year 1,1/1/26,6/30/26,28.45,32.72,42.68,56.90,10.80,0.00,0.00,0.10,1.05,0.70,0.05,3.00%,0.00
