Union Group,Trade,Union Local,Zone,Indentured Date is Before,Indentured Date is After,Package,Start Date,End Date,Wage,Wage Differential,Wage 1.5x,Wage 2.0x,Health & Welfare,RESA,Health & Welfare Metal,Pension,Pension Metal,SIS,UA International Training,Industry Promotion National Use,Industry Promotion Local Use,Apprenticeship Training,Union Dues 821,Market Recovery 821,UA Organizing 821,PAC 821
UA,Sprinkler,821,Industrial,,,General Foreman,1/1/26,6/30/26,42.43,48.79,63.65,84.86,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,,Foreman - more than 4 men,1/1/26,6/30/26,40.43,46.49,60.65,80.86,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,,Foreman - 4 men or less,1/1/26,6/30/26,39.93,45.92,59.90,79.86,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,,Journeyman,1/1/26,6/30/26,38.18,43.91,57.27,76.36,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,7/1/17,,Apprentice Year 5,1/1/26,6/30/26,29.39,33.80,44.09,58.78,12.60,0.85,0.00,7.45,0.00,3.19,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,7/1/17,,Apprentice Year 4,1/1/26,6/30/26,25.94,29.83,38.91,51.88,12.60,0.85,0.00,7.45,0.00,2.81,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,7/1/17,,Apprentice Year 3,1/1/26,6/30/26,21.50,24.73,32.25,43.00,12.60,0.85,0.00,0.00,0.00,2.44,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,7/1/17,,Apprentice Year 2,1/1/26,6/30/26,19.71,22.67,29.57,39.42,12.60,0.85,0.00,0.00,0.00,2.06,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,7/1/17,,Apprentice Year 1,1/1/26,6/30/26,17.92,20.61,26.88,35.84,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,6/30/17,Apprentice Year 5,1/1/26,6/30/26,29.39,33.80,44.09,58.78,12.60,0.85,0.00,7.45,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,6/30/17,Apprentice Year 4,1/1/26,6/30/26,25.94,29.83,38.91,51.88,12.60,0.85,0.00,7.45,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,6/30/17,Apprentice Year 3,1/1/26,6/30/26,21.50,24.73,32.25,43.00,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,6/30/17,Apprentice Year 2,1/1/26,6/30/26,19.71,22.67,29.57,39.42,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,6/30/17,Apprentice Year 1,1/1/26,6/30/26,17.92,20.61,26.88,35.84,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,,Production Worker,1/1/26,6/30/26,19.92,22.91,29.88,39.84,0.00,0.00,5.75,0.00,0.70,0.00,0.00,0.00,0.00,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Industrial,,,Trainee,1/1/26,6/30/26,17.42,20.03,26.13,34.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00%,0.00,0.00,
UA,Sprinkler,821,Commercial,,,General Foreman,1/1/26,6/30/26,40.08,46.09,60.12,80.16,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,,Foreman - more than 4 men,1/1/26,6/30/26,38.08,43.79,57.12,76.16,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,,Foreman - 4 men or less,1/1/26,6/30/26,37.58,43.22,56.37,75.16,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,,Journeyman,1/1/26,6/30/26,35.83,41.20,53.75,71.66,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,7/1/17,,Apprentice Year 5,1/1/26,6/30/26,29.39,33.80,44.09,58.78,12.60,0.85,0.00,7.45,0.00,3.19,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,7/1/17,,Apprentice Year 4,1/1/26,6/30/26,25.94,29.83,38.91,51.88,12.60,0.85,0.00,7.45,0.00,2.81,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,7/1/17,,Apprentice Year 3,1/1/26,6/30/26,21.50,24.73,32.25,43.00,12.60,0.85,0.00,0.00,0.00,2.44,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,7/1/17,,Apprentice Year 2,1/1/26,6/30/26,19.71,22.67,29.57,39.42,12.60,0.85,0.00,0.00,0.00,2.06,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,7/1/17,,Apprentice Year 1,1/1/26,6/30/26,17.92,20.61,26.88,35.84,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,6/30/17,Apprentice Year 5,1/1/26,6/30/26,29.39,33.80,44.09,58.78,12.60,0.85,0.00,7.45,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,6/30/17,Apprentice Year 4,1/1/26,6/30/26,25.94,29.83,38.91,51.88,12.60,0.85,0.00,7.45,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,6/30/17,Apprentice Year 3,1/1/26,6/30/26,21.50,24.73,32.25,43.00,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,6/30/17,Apprentice Year 2,1/1/26,6/30/26,19.71,22.67,29.57,39.42,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,6/30/17,Apprentice Year 1,1/1/26,6/30/26,17.92,20.61,26.88,35.84,12.60,0.85,0.00,0.00,0.00,1.88,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,,Production Worker,1/1/26,6/30/26,19.92,22.91,29.88,39.84,0.00,0.00,5.75,0.00,0.70,0.00,0.00,0.00,0.00,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Commercial,,,Trainee,1/1/26,6/30/26,17.42,20.03,26.13,34.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00%,0.00,0.00,
UA,Sprinkler,821,Low-Commercial,,,General Foreman,1/1/26,6/30/26,38.83,44.65,58.25,77.66,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Low-Commercial,,,Foreman - more than 4 men,1/1/26,6/30/26,36.83,42.35,55.25,73.66,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Low-Commercial,,,Foreman - 4 men or less,1/1/26,6/30/26,36.33,41.78,54.50,72.66,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
UA,Sprinkler,821,Low-Commercial,,,Journeyman,1/1/26,6/30/26,34.58,39.77,51.87,69.16,12.60,0.85,0.00,7.45,0.00,3.75,0.10,0.25,0.05,0.70,2.00%,0.80,0.10,
